ID,Event,Gold / Silver,Crystal,HeartGold / SoulSilver,Integration decision,Class
PH6-011,Mahogany shop reveal,Lance and Dragonite confront the suspicious shop staff and uncover hidden stairs.,"Crystal explicitly stages 'DRAGONITE, HYPER BEAM' and reveals the staircase tile.","HGSS expands the same scene with Dragonite movement, sound, follower handling and hidden-object state.",Keep the iconic GSC scene and use HGSS choreography as the presentation upgrade.,direct story backport
PH6-012,Rocket HQ B1F security cameras,Five security-camera zones can summon Rocket Grunts; each has independent completion state.,Same core system.,HGSS rebuilds the alarm/statue system with siren presentation and repeated Grunt 20/21 encounters controlled by dedicated variables.,Preserve every original camera encounter/state and add HGSS alarm presentation. Do not collapse the floor into one generic encounter flag.,puzzle/state preservation
PH6-013,Rocket HQ B1F exploding traps,"Gen II has 21 individual exploding-trap coordinates using Koffing, Voltorb and Geodude battles.",Same detailed trap field.,"HGSS retains Rocket trap battles, including Koffing encounters, within the rebuilt HQ.",Preserve all GSC trap positions/encounter identities as legacy data; map conversion may relocate coordinates but cannot reduce the content to a representative subset.,full-content preservation
PH6-014,Lance party heal in the hideout,Lance heals the player's party during the base operation.,Same.,HGSS explicitly heals the party in the headquarters script before proceeding.,Use a one-time/retry-safe story heal flag and preserve the scene.,direct preservation
PH6-015,Two boss-room passwords,Two Rockets reveal SLOWPOKETAIL and RATICATE TAIL; both are required for the boss-room door.,Same.,"HGSS preserves the two-information prerequisite before the Petrel office sequence, while later adding voice authentication.",Keep the two GSC password facts. They are not replaced by HGSS's voice lock.,password-system preservation
PH6-016,Hideout rival encounter,"The rival appears in B3F, says Lance defeated him and criticized his lack of love/trust for Pokémon, then shoves the player and leaves.",Same.,HGSS retains the rival interruption with expanded/follower-safe choreography.,Directly preserve the GSC character-development beat and upgrade only movement/presentation.,direct story backport
PH6-017,GSC male Executive record,An unnamed male Executive (EXECUTIVEM_4) guards Giovanni's office and is battled as the boss-room authority.,Same anonymous executive structure.,HGSS assigns this story role to the named Executive Petrel and expands it.,"Do not delete the GSC ExecutiveM_4 trainer/dialogue record. In the full integrated route, relocate it to an outer-office/security-command battle before Petrel; mark the relocation as a project integration modification.",preserve legacy actor + additive named executive
PH6-018,Petrel disguised as Giovanni,No visual Giovanni-disguise reveal; the boss-room executive simply speaks of Giovanni's absence.,Same Gen II structure.,"HGSS initially presents a Giovanni object, then reveals Petrel and starts TRAINER_EXECUTIVE_PETREL_PETREL_2.",Add the full HGSS disguise reveal after the preserved legacy executive layer.,HGSS narrative expansion
PH6-019,Murkrow password / voice authentication,"Murkrow states the phrase HAIL GIOVANNI, which opens the transmitter route after it is learned.",Same.,Murkrow mimics Petrel's voice; the voice-recognition system unlocks the door.,"Preserve both facts: the GSC phrase remains learnable lore/state, then HGSS voice authentication becomes the expanded unlock presentation. Do not replace one with the other.",merged authentication system
PH6-020,GSC female Executive record,An unnamed female Executive confronts the player near the transmitter while a grunt assists her.,Same.,HGSS names the equivalent commander Ariana and expands the confrontation.,"Retain the original ExecutiveF_2 trainer/dialogue data. In the expanded route it may serve as a prior commander encounter, while Ariana remains the named final B2F commander; document the relocation as project-authored.",preserve legacy actor + additive named executive
PH6-021,Ariana + Grunt / Lance partner battle,The player fights the female Executive while Lance separately handles the assisting grunt; not a true player/Lance Multi Battle.,Same Gen II presentation.,HGSS runs an actual MultiBattle: player + Lance versus Executive Ariana + Rocket Grunt 25.,Preserve the original single-battle data but use the HGSS partner Multi Battle as the expanded canonical confrontation once the double-battle engine is available.,battle-structure expansion
PH6-022,Electrode generator shutdown,Six Electrode power the transmitter; the player battles three Lv.23 Electrode while Lance handles the other side.,Same.,HGSS retains six visible Electrode and tracks paired hide states; player-facing static battles are SPECIES_ELECTRODE Lv.23.,Preserve all six objects and three player encounters. Track each pair and final completion atomically.,direct preservation / state hardening
PH6-023,Whirlpool HM reward numbering,GSC/Crystal: Lance gives HM06 Whirlpool after the Electrode shutdown.,HM06 Whirlpool.,HGSS: Lance gives ITEM_HM05; Gen IV HM05 maps to MOVE_WHIRLPOOL.,Do not overwrite either numbering scheme. Keep one MOVE_WHIRLPOOL entitlement plus GSC_HM06 and HGSS_HM05 provenance records under the expanded HM namespace.,critical HM identity/number conflict
PH6-024,Rocket Hideout clear transaction,"Clearing the generator ends the Rocket signal, restores Route 43/town states, and marks the hideout cleared.",Same with EVENT_CLEARED_ROCKET_HIDEOUT and radio-signal cleanup.,"HGSS sets FLAG_ROCKET_HIDEOUT_CLEARED, restores Route 43 guard/Rocket visibility, and advances multiple HQ/town variables.","Implement one atomic completion routine. Save/reload may never leave the signal off with Rockets still active, or vice versa.",atomic story transition
PH6-025,Lake/Route43 post-clear state,Lake citizens/dialogue and Route 43 gate return to normal after the hideout.,The guard returns and the Lake's fishing-related side content changes state.,HGSS clears guard-hide and sets Rocket-hide flags when headquarters completion fires.,"Tie all post-clear environmental changes to the atomic hideout completion fact, not to room-local flags.",world-state consolidation
PH6-026,Mahogany Gym availability,Gym access is blocked by the Rocket incident and becomes available after the hideout.,Same.,HGSS uses town/hideout state to release the Gym progression.,One shared ROCKET_HIDEOUT_CLEARED prerequisite; do not require unrelated Chuck/Jasmine ordering.,story gate preservation
PH6-027,Pryce Gym puzzle,Single-map Gen II sliding-ice puzzle with all original trainers.,Same core puzzle family.,HGSS rebuilds Mahogany Gym across remake-specific room/map structure.,"Preserve all GSC trainer/puzzle content, then add the HGSS map/puzzle layer as an expanded layout. Do not discard the original ice puzzle data.",map/puzzle coexistence
PH6-028,Pryce TM reward,TM16 Icy Wind.,TM16 Icy Wind.,ITEM_TM07; Gen IV TM07 = Hail.,Preserve TM16 Icy Wind and add TM07 Hail after the Gen IV TM namespace is implemented. One source must not overwrite the other.,TM reward conflict
PH6-029,HGSS Pryce TM07 loss bug,GSC/Crystal retries the TM reward on later conversation if it could not be received.,Crystal checks EVENT_GOT_TM16_ICY_WIND and attempts the reward again until claimed.,"HGSS script comments/code show a programming mistake: after the badge, an unavailable TM07 reward can be permanently missed; FLAG_GOT_TM07_FROM_PRYCE is not used to restore the retry path.","Record the original HGSS bug, but implement the corrected retry behavior based on the safer GSC pattern.",verified bug fix
PH6-030,Glacier Badge / Whirlpool field use,Glacier Badge authorizes Whirlpool field use.,Same.,HGSS retains the badge/move progression while Whirlpool is HM05 rather than HM06.,"Field authorization must check MOVE_WHIRLPOOL + Glacier Badge, not a hard-coded legacy HM slot number.",engine abstraction requirement
PH6-031,Rocket takeover pre-activation,Gen II gym scripts use badge count to invoke Goldenrod/Radio Tower Rocket state transitions; Mahogany is part of that shared mechanism.,GoldenrodRocketsScript enables the Goldenrod occupation setup and schedules the weird broadcast; RadioTowerRocketsScript sets the Radio Tower occupation engine flag.,"HGSS midgame leaders increment VAR_MIDGAME_BADGES; Pryce sets VAR_SCENE_ROCKET_TAKEOVER when the midgame threshold is reached, and Mahogany town contains the follow-up state that activates the takeover and Elm phone call.",Do not activate Radio Tower from a hard-coded Pryce-only condition. Phase 7 must consume a generic badge/progression handshake so alternate Chuck/Jasmine/Pryce order stays valid.,global progression architecture
PH6-032,Lake of Rage side content,"Fishing-record house, hidden items, NPCs, and weekday sibling content coexist with the Red Gyarados story.",Crystal retains Wesley-of-Wednesday and the Magikarp-length content around the main plot.,"HGSS retains/expands optional Lake content, including postgame Pryce phone/rematch-related appearance.",Main-story integration must not delete or repurpose side-content flags. Keep them in a separate namespace from Rocket/Gyarados state.,side-content preservation
