ID,Event,Gold / Silver,Crystal,HeartGold / SoulSilver,Integration decision,Class,Evidence
PH4-011,Sudowoodo encounter,The strange tree becomes a Lv.20 Sudowoodo when watered with the SquirtBottle.,Same Lv.20 fixed encounter.,"Same species and Lv.20 fixed encounter, with explicit static-encounter outcome/caught flags.",Keep the original encounter and add HGSS outcome-state handling so caught/defeated/failure states cannot desynchronize the map.,direct preservation / encounter-state hardening,pokecrystal maps/Route36.asm; pokeheartgold scr_seq_0243_R36.s
PH4-012,Rock Smash representation after Sudowoodo,Rock Smash is represented as TM08 in the Gen II item/TM structure.,The Route 36 man gives TM08 Rock Smash after Sudowoodo is cleared.,The Route 36 man provides HM06 Rock Smash.,"Do not overwrite the GSC TM08 record. Preserve TM08 as the legacy reward, and after Gen IV HM expansion add/register the HGSS HM06 representation as an upgrade/parallel entitlement so provenance and functionality are both retained.",TM/HM data-structure conflict,pokecrystal maps/Route36.asm; pokeheartgold scr_seq_0243_R36.s
PH4-013,HGSS Berry Pots reward after Sudowoodo,No Berry Pots reward at this point.,No HGSS Berry Pots system.,"After Sudowoodo, the flower-shop girl gives Berry Pots plus three Oran Berries and three Pecha Berries.",Add after the Berry Pots/growing subsystem is implemented. Keep GSC berry-tree content separately rather than converting or deleting it.,HGSS additive system/content,pokeheartgold scr_seq_0243_R36.s
PH4-014,Route 37 to Ecruteak,Route 37 is the normal northbound transition to Ecruteak with trainers and time/day side content.,Same main traversal role with version-specific side events.,Same main traversal role with expanded weekday/ribbon/photo systems.,Keep route progression unchanged; treat HGSS additions as optional side layers.,preserve topology / additive side systems,pokeheartgold scr_seq_0246_R37.s
PH4-015,Burned Tower rival confrontation,The Burned Tower rival confrontation is part of the Ecruteak story around the legendary beasts.,Expands it: the rival confrontation is followed by the floor collapsing/opening a route to B1F.,Retains the rival battle with expanded movement/follower handling.,Preserve the rival battle and Crystal's distinctive collapse/hole choreography where map geometry permits; HGSS follower-safe movement is added around it.,Crystal choreography + HGSS state upgrade,pokecrystal maps/BurnedTower1F.asm; pokeheartgold scr_seq_0023_D18R0101.s
PH4-016,Eusine and Morty at Burned Tower,Eusine is absent from the Burned Tower story; the beast release is not framed as a Suicune-specific chase.,"Introduces Eusine and places Morty in the Burned Tower investigation, establishing Suicune as a special narrative target.",Retains Eusine/Morty involvement and further expands Eusine's Suicune chase.,"Treat Crystal as the bridge layer: preserve the G/S release scene, add Crystal's Eusine/Morty story, then attach HGSS's longer Suicune chase after it.",Crystal + HGSS narrative expansion,pokegold maps/BurnedTowerB1F.asm; pokecrystal maps/BurnedTower1F.asm; pokeheartgold scr_seq_0023_D18R0101.s
PH4-017,Legendary beast release,"Raikou, Entei and Suicune are released and the roaming system is initialized.","Uses the same three-beast release as a base, then gives Suicune a special scripted path while the roaming system remains active for the relevant beasts.","The B1F script releases all three, explicitly creates two roamers (Raikou/Entei) and sends Suicune into its dedicated chase story.",Store the shared fact EVENT_BEASTS_RELEASED once. Raikou and Entei use the roaming subsystem; Suicune has separately selectable/trackable legacy-roaming and narrative-route states so no source behavior is erased.,core state split,pokegold maps/BurnedTowerB1F.asm; pokecrystal maps/BurnedTowerB1F.asm; pokeheartgold scr_seq_0024_D18R0102.s
PH4-018,Suicune story divergence,Suicune belongs to the original roaming-beast model.,Suicune becomes a dedicated narrative Pokémon connected to Eusine and later fixed-story scenes including the tower encounter.,"Suicune uses a much longer chase with dedicated appearances extending through Johto and Kanto, eventually leading to a fixed encounter.",Never collapse these into one boolean. Keep source-specific progression facts and a shared caught state. Default integrated narrative can run Crystal/HGSS waypoints while an optional legacy roaming state remains representable.,version-divergent legendary state machine,"pokegold/pokecrystal Burned Tower scripts; pokeheartgold D18R0102, T06, R42, R14, R25 scripts"
PH4-019,Suicune duplicate-capture prevention,Only the original roaming capture is relevant.,Has a Crystal-specific fixed narrative conclusion.,Has a later HGSS chase conclusion.,"Use one global SUICUNE_CAUGHT state plus separate waypoint/completion flags. If Suicune is caught through the Crystal conclusion, later HGSS chase nodes become Eusine epilogue sightings/dialogue and never spawn a second catchable Suicune; if not caught, the HGSS chase may continue.",integration safety rule,project integration design grounded in distinct Crystal/HGSS scripts
PH4-020,Ecruteak Dance Theater — GSC five Kimono Girls,Five Kimono Girls are individual trainers; defeating all five allows the gentleman to award HM03 Surf.,Same early five-trainer structure and HM03 Surf requirement.,The five-sister challenge is no longer used as the early Surf gate; it is repurposed later in the story.,Preserve all five original GSC trainer battles and their individual flags. They remain available as the legacy Dance Theater challenge.,preserve original trainer content,pokecrystal maps/DanceTheater.asm
PH4-021,HGSS Kimono Girl rescue at Dance Theater,No Rocket harassment/rescue scene at the Dance Theater.,No HGSS-style Rocket harassment scene.,"A Rocket Grunt harasses a Kimono Girl; the player battles the Grunt, changing theater state. This is the next HGSS Kimono Girl story beat after Violet and Ilex.",Add as EVENT_HGSS_KIMONO_ECRUTEAK_RESCUED without deleting any of the five GSC Kimono Girl trainer objects/battles.,HGSS additive story event,pokeheartgold scr_seq_0928_T27R0501.s
PH4-022,HM03 Surf eligibility conflict,Surf is earned after defeating all five Kimono Girls.,Same.,The Dance Theater gentleman gives HM03 after the early Rocket/Kimono Girl incident rather than requiring the later five-sister gauntlet.,"Use one EVENT_HM03_SURF_CLAIMED and record its source. Either preserved GSC five-battle completion or the HGSS rescue path can satisfy the integrated entitlement, while neither event chain is deleted after the item is claimed.",shared reward / multiple official prerequisites,pokecrystal maps/DanceTheater.asm; pokeheartgold scr_seq_0928_T27R0501.s
PH4-023,Late HGSS five-sister gauntlet preservation,The five Kimono battles are an early optional/Surf-related challenge.,Same early role.,The five Kimono Girls later form a consecutive high-importance story challenge tied to the mascot storyline.,"Do not consume the original GSC battle flags to stand in for the HGSS late gauntlet. Create a distinct later rematch/story state with its own teams, sequence and completion flag.",duplicate-actor / separate-era battle flags,pokeheartgold Dance Theater later-state dialogue/script; GSC DanceTheater.asm
PH4-024,Goldenrod Underground future Rocket takeover state,The Underground later becomes part of the Radio Tower takeover route.,Same core later story infrastructure with its own switches/locked door/state.,Goldenrod Tunnel dialogue and object states explicitly branch on VAR_SCENE_ROCKET_TAKEOVER.,"Keep early exploration flags separate from future Rocket-takeover flags now, so Phase 6/7 integration cannot overwrite haircut/vendor/Coin Case/Fashion Case state.",future-state isolation,pokecrystal maps/GoldenrodUnderground.asm; pokeheartgold scr_seq_0093_D37R0101.s
