ID,Event,Gold / Silver,Crystal,HeartGold / SoulSilver,Integration decision,Class
PH5-011,Jasmine explains Amphy's illness,"At the top of the Lighthouse, Jasmine asks for medicine from Cianwood.",Same; sets EVENT_JASMINE_EXPLAINED_AMPHYS_SICKNESS.,Uses VAR_SCENE_LIGHTHOUSE_JASMINE to stage the explanation and open the SecretPotion branch.,Keep the GSC story fact and use a dedicated scene variable for presentation.,direct preservation / state hardening
PH5-012,SecretPotion availability,Cianwood pharmacy gives the medicine only after Jasmine's request.,Same explicit sickness-event check.,Pharmacy gives ITEM_SECRETPOTION only when the Lighthouse scene has reached the correct state; otherwise it behaves as a pharmacy.,One shared quest entitlement with source-specific presentation. Do not allow premature acquisition unless explicitly added as a project convenience rule.,quest-gate preservation
PH5-013,Route 40 / Route 41 sea crossing,Surf route from Olivine to Cianwood; Whirl Islands remain an optional branch for later conditions.,Same main traversal role.,Same main traversal role with remake map/content additions.,Preserve the open sea route and all swimmers. Do not force Whirl Islands into the medicine quest.,preserve topology
PH5-014,Whirl Islands early access role,"Optional/partially gated area, not required to obtain the SecretPotion.",Same core separation.,Still separate from the basic Olivine→Cianwood medicine route; later SoulSilver mascot story uses it more heavily.,Keep medicine progression independent from the later mascot branch.,future-story isolation
PH5-015,Cianwood Suicune appearance,No Eusine-driven fixed Suicune scene in G/S.,Suicune appears in Cianwood after the Burned Tower release and triggers the Eusine story.,"A dedicated Cianwood script shows Suicune, hides it, reveals Eusine, and starts the Eusine battle.",Use Crystal as the base narrative layer and HGSS choreography as the upgrade. This event is independent of Chuck victory.,Crystal→HGSS narrative continuity
PH5-016,Eusine battle in Cianwood,Absent.,One Mysticalman Eusine battle follows the Suicune scene.,One TRAINER_MYSTERY_MAN_EUSINE battle follows the Suicune scene.,One shared story battle with separate source metadata; never duplicate it for Crystal and HGSS.,shared Crystal/HGSS event
PH5-017,Suicune next waypoint after Cianwood,No dedicated route.,Cianwood completion activates the Route 42 Suicune scene.,Cianwood completion clears the Route 42 Suicune hide flag and prepares the Route 42 scene.,Merge Cianwood→Route42 as a shared Crystal/HGSS transition.,shared waypoint
PH5-018,Suicune divergence after Route 42,No fixed route.,Route 42 advances the Crystal chain toward Route 36 and ultimately the Crystal tower conclusion.,"Route 42 clears the Vermilion Suicune hide flag, beginning the later Kanto continuation.",Fork only after the shared Route 42 waypoint: Crystal branch → Route36/tower; HGSS branch → Vermilion/Route14/Route25. Use one global caught state.,version-aware state machine
PH5-019,Chuck challenge timing,Chuck can be challenged while the player is in Cianwood; the SecretPotion quest does not require defeating him.,Same.,Chuck uses a separate Gym state; Cianwood Suicune and pharmacy scripts do not require Storm Badge.,"Preserve independence between Chuck, Eusine, and SecretPotion.",progression freedom
PH5-020,Cianwood Gym presentation,Strength/boulder puzzle; Chuck performs his famous boulder-breaking feat before battle.,Same Gen II boulder presentation.,Gym is rebuilt around a waterfall/winch mechanism.,"Preserve Chuck's GSC boulder feat as dialogue/animation, and add the HGSS waterfall/winch puzzle as an expanded map mechanic rather than replacing the character scene.",puzzle + character preservation
PH5-021,Chuck TM reward,TM01 DynamicPunch.,TM01 DynamicPunch.,TM01 Focus Punch.,The item number collides while the move differs. Preserve the GSC TM01 record and add Gen IV TM01 Focus Punch under the expanded TM namespace/data model; never silently relabel the old TM.,critical TM identity conflict
PH5-022,HM02 Fly from Chuck's wife,Chuck's wife gives HM02 Fly after Storm Badge.,Same.,Cianwood city script gives ITEM_HM02 after the badge.,One shared HM02 Fly reward state.,direct preservation
PH5-023,Returning medicine without beating Chuck,The player may sail back manually; Chuck is not a prerequisite to heal Amphy.,Same.,SecretPotion and Lighthouse scripts do not require Storm Badge.,"Do not force Chuck before Jasmine. Fly is convenience, not a story gate.",progression freedom
PH5-024,Amphy healing scene,SecretPotion is handed to Jasmine; Ampharos recovers and Jasmine leaves for the Gym.,Same with explicit EVENT_JASMINE_RETURNED_TO_GYM.,"Takes ITEM_SECRETPOTION, animates Ampharos recovery, advances VAR_SCENE_LIGHTHOUSE_JASMINE, and clears Jasmine's Gym hide flag.","Make this an atomic transaction: consume medicine → set Amphy healed → move Jasmine → enable Gym. On reload, no partial state is allowed.",atomic story transition
PH5-025,Jasmine challenge timing,"Once Amphy is healed and Jasmine returns, her Gym can be challenged; Chuck victory is not required.",Same.,"Jasmine Gym script checks Mineral Badge/reward state, not Storm Badge.",Preserve the flexible Chuck/Jasmine order.,progression freedom
PH5-026,Jasmine reward,Mineral Badge + TM23 Iron Tail.,Mineral Badge + TM23 Iron Tail.,Mineral Badge + ITEM_TM23.,Single shared reward state; no conflict.,direct preservation
PH5-027,Midgame badge-order handling,Gen II permits substantial freedom among the post-Morty midgame leaders.,Same broad freedom.,Morty/Chuck/Jasmine scripts update VAR_MIDGAME_BADGES and Rocket-takeover state instead of assuming one rigid leader order.,"Model Rocket escalation from badge/progression facts, not a fixed Chuck→Jasmine→Pryce sequence.",global progression architecture
PH5-028,Safari Zone opening continuation,No Safari Zone storyline in this area.,No HGSS Safari Zone storyline.,Baoba later phones that the Safari Zone has opened and directs the player through the cavern route from Cianwood.,"Keep as an independent HGSS side-story state seeded on Route 39; implementation of Routes 47/48 and Safari Zone is deferred, not omitted.",HGSS side-story continuation
