dex_number,pokemon_name_gs_korean,category_same,height_same,weight_same,description_same,gold_category,silver_category,height_dm,weight_hg,gold_description,silver_description,gold_bank_hex,silver_bank_hex,gold_cpu_address_hex,silver_cpu_address_hex
11,단데기,True,True,True,False,번데기,번데기,7,99,껍질 안은 진화의 준비로<NEXT>매우 부드럽고 부서지기 쉽다<NEXT>되도록이면 움직이지 않으려 한다,열심히 바깥쪽에<NEXT>고치를 쳐서 진화의 준비를 하여<NEXT>부드러운 몸을 보호하고 있다,0x68,0x68,0x4315,0x4342
12,버터플,True,True,True,False,나비,나비,11,320,매일 꿀을 모으러 다닌다<NEXT>다리의 털에 꿀을 모아<NEXT>집에 가지고 돌아가는 습성이 있다,날개의 가루는 방수 기능을 하기에<NEXT>아무리 비가 내려도<NEXT>꿀을 모으기 위해 날아다닌다,0x68,0x68,0x4373,0x4397
13,뿔충이,True,True,True,False,송충이,송충이,3,32,독침은 매우 강력하다<NEXT>눈에 띄는 몸의 색깔은<NEXT>상대방에게 경계심을 심어준다,머리끝 5cm정도의 독침으로<NEXT>공격을 해온다  보통은<NEXT>먹이가 되는 잎사귀 아래 있다,0x68,0x68,0x43CA,0x43EF
14,딱충이,True,True,True,False,번데기,번데기,6,100,번데기지만 조금이라면 움직인다<NEXT>적에게 공격을 받을듯하면<NEXT>독침을 쏘는 일도 있다,성충의 몸을 만들고 있다<NEXT>안쪽이 부드러워지는 만큼<NEXT>바깥의 고치는 딱딱해져간다,0x68,0x68,0x441C,0x4446
15,독침붕,True,True,True,False,독벌,독벌,10,295,어떠한 상대라도 강력한<NEXT>독침으로 쏴 죽인다<NEXT>가끔은 집단적으로 공격해온다,3개의 독침중에서<NEXT>엉덩이에 있는 것이 제일<NEXT>강력한 독을 낸다,0x68,0x68,0x4474,0x449C
16,구구,True,True,True,False,아기새,아기새,3,18,보통은 풀숲에 숨어 있다<NEXT>싸움을 바라지 않고 공격받으면<NEXT>필사적으로 모래를뿌려 몸을 보호함,풀숲과 숲속에 많이 분포되어 있다<NEXT>얌전한 성격으로 날개짓을 해서<NEXT>모래를 뿌려 적을 쫓아낸다,0x68,0x68,0x44C3,0x44DE
17,피죤,True,True,True,False,새,새,11,300,매우 시력이 좋다<NEXT>아무리 높은 장소에서라도<NEXT>먹이의 움직이는 모습을 구별한다,발달한 발의 발톱으로<NEXT>먹이를 꼼짝 못하게 움켜쥐고<NEXT>100Km떨어진 둥지까지 운반한다,0x68,0x68,0x4525,0x4541
18,피죤투,True,True,True,False,새,새,15,395,발달한 가슴 근육은<NEXT>가볍게 날갯짓을 하는 것만으로<NEXT>큰 바람을 일으킬 정도다,아름다운 날개는 펼쳐서<NEXT>상대를 위협하는 것 뿐만 아니라<NEXT>마하2로 하늘을 난다,0x68,0x68,0x4575,0x4596
19,꼬렛,True,True,True,False,쥐,쥐,3,35,어떤 것이든 먹어치우기 때문에<NEXT>먹이가 될만한 것이 있는 장소에<NEXT>정착하여 점점 새끼를 낳는다,먹을 것이 있는 곳이라면<NEXT>어디서든 서식한다<NEXT>하루종일 먹이를 찾아다닌다,0x68,0x68,0x45C4,0x45E6
20,레트라,True,True,True,False,쥐,쥐,7,185,단단한 앞니로 무엇이든 갉는다<NEXT>콘크리드로 만들어진 빌딩도<NEXT>갉아서 넘어뜨려버린다,수염으로 밸런스를 잡고 있다<NEXT>앞니는 점점 길어지기때문에<NEXT>무엇이든 갉아서 문지르고 있다,0x68,0x68,0x4623,0x4631
21,깨비참,True,True,True,False,아기새,아기새,3,20,짧은 날개를 쳐서<NEXT>풀숲의 벌레를 나오게 하고<NEXT>짧은 부리로 쪼아먹는다,자신의 구역을 지키기위해<NEXT>작은 날개를 쳐서<NEXT>바쁘게 주위를 날아 맴돈다,0x68,0x68,0x4678,0x468C
22,깨비드릴조,True,True,True,False,부리,부리,12,380,단숨에 높은 하늘까지 날아올라<NEXT>거기서부터 급강하로<NEXT>단숨에 공격해온다,가늘고 긴 부리를 능숙하게<NEXT>사용하여 지면의 작은<NEXT>벌레를 집어 먹는다,0x68,0x68,0x46C4,0x46DA
23,아보,True,True,True,False,뱀,뱀,20,69,자유롭게 턱을 뺄 수 있어서<NEXT>커다란 먹이라도 삼킬 수 있지만<NEXT>무거워져서 움직일 수 없게된다,보통은 풀숲에 숨어지낸다<NEXT>아기 때는 독을 지니지 않아<NEXT>물려도 조금 아플뿐이다,0x68,0x68,0x4710,0x4724
24,아보크,True,True,True,False,코브라,코브라,35,650,배에 무서운 얼굴 같은<NEXT>모양을 보여 뛰쳐나온<NEXT>먹이를 조이고 중독시킨다,매우 집념이 강한 성격<NEXT>한번 타겟으로 정한<NEXT>먹이는 어디든지 쫓아간다,0x68,0x68,0x476E,0x4775
25,피카츄,True,True,True,False,쥐,쥐,4,60,딱딱한 열매도 전기로<NEXT>구워서 부드럽게 만든 뒤에<NEXT>먹는 지혜를 가지고 있다,꼬리를 세우고<NEXT>주변을 살피다 보면<NEXT>가끔 꼬리에 번개가 친다,0x68,0x68,0x47BC,0x47C1
26,라이츄,True,True,True,False,쥐,쥐,8,300,전기가 모이면<NEXT>근육이 자극되어 평상시보다<NEXT>공격적으로 되어버린다,양 볼의 전기주머니에 모인<NEXT>전기가 가득차게 되면<NEXT>두 귀가 곧게 선다,0x68,0x68,0x4809,0x4800
27,모래두지,True,True,True,False,쥐,쥐,6,120,아무리 높은 곳에서부터<NEXT>떨어져도 몸을 둥글게 말면<NEXT>바운드가 되어 살 수 있다,습기를 싫어해서 건조한 땅에<NEXT>깊은 구멍을 파서 생활을 한다<NEXT>눈 깜짝할 새에 몸을 둥글게 만다,0x68,0x68,0x484E,0x4847
28,고지,True,True,True,False,쥐,쥐,10,295,전속력으로 주변을 달려서<NEXT>모래먼지를 일으켜<NEXT>자신의 모습을 감추려한다,굉장한 힘으로 지면을 파면<NEXT>가시와 발톱이 부러져버리지만<NEXT>다음에 바로 돋아나 있다,0x68,0x68,0x489E,0x48A6
29,니드런♀,True,True,True,False,독침,독침,4,70,작은 뿔에 담겨있는<NEXT>독의 위력은 대단하다<NEXT>작은 상처에도 목숨을 잃는다,싸움을 그리 좋아하지 않지만<NEXT>위기가 닥쳤을 때<NEXT>뿔의 독으로 상대를 물리친다,0x68,0x68,0x48E8,0x48FB
30,니드리나,True,True,True,False,독침,독침,8,200,새끼에게 먹이를 나누어줄 때<NEXT>어미가 씹어서 소화해놓은<NEXT>먹이를 토해서 준다,온화하고 부드러운 성격<NEXT>뿔의 성장도 늦기때문에<NEXT>먼저 싸움을 걸지는 않는다,0x68,0x68,0x4934,0x494C
31,니드퀸,True,True,True,False,드릴,드릴,13,600,전신이 바늘같은 비늘로<NEXT>뒤덮혀 있다  어떠한 공격에도<NEXT>기가 죽은 모습은 보이지 않는다,비늘로 뒤덮인 튼튼한<NEXT>몸으로 둥지의 입구를 지켜<NEXT>적으로부터 새끼들을 지킨다,0x68,0x68,0x4984,0x499C
32,니드런♂,True,True,True,False,독침,독침,5,90,작은 몸이지만 뿔 안에는 독이<NEXT>가득하다<NEXT>뿔로 찔러 중독시킨다,커다란 귀를 세워서<NEXT>주변을 살피고 위험이 닥치면<NEXT>먼저 공격을 해온다,0x68,0x68,0x49DF,0x49EE
33,니드리노,True,True,True,False,독침,독침,9,195,발달한 귀를 세워서<NEXT>주변의 상황을 살핀다<NEXT>뭔가 있으면 바로 힘차게 달려든다,화를 잘내는 성격으로<NEXT>흥분을 하면 뿔로 찔러서<NEXT>맹독을 흘려 넣는다,0x68,0x68,0x4A22,0x4A38
34,니드킹,True,True,True,False,드릴,드릴,14,620,커다란 꼬리를 휘둘러<NEXT>상대의 기가 죽으면 튼튼한<NEXT>몸으로 돌진해온다,힘이 넘치는 두꺼운 꼬리는<NEXT>힘껏 조르고 있는 상대의 척추를<NEXT>간단하게 부러뜨려버린다,0x68,0x68,0x4A73,0x4A80
35,삐삐,True,True,True,False,요정,요정,6,75,등의 날개에 달빛을<NEXT>모으는 것으로 공중에<NEXT>떠오를 수 있다는 것 같다,귀여운 몸 동작과 울음소리로<NEXT>귀엽고도 인기있는 포켓몬<NEXT>그러나 좀처럼 눈에 띄지 않는다,0x68,0x68,0x4ABC,0x4AD9
36,픽시,True,True,True,False,요정,요정,13,400,아무리 먼 곳에서 나는 소리라도<NEXT>구별할 수 있기 때문에 보통은<NEXT>조용한 곳에 숨어 있다,어떤 먼 곳에서 나는 소리도<NEXT>구별할 수 있을 정도로 귀가 밝아<NEXT>보통은 조용한 곳을 좋아한다,0x68,0x68,0x4B05,0x4B35
37,식스테일,True,True,True,False,여우,여우,6,99,하얀 꼬리가 크게 자라면<NEXT>색이 생겨 6개로 나누어진다<NEXT>끌어안으면  따뜻하다,자신보다 강한 상대에게<NEXT>공격을 받으면 다친 척을 해서<NEXT>속이고 그 틈을 타서 도망친다,0x68,0x68,0x4B5F,0x4B94
38,나인테일,True,True,True,False,여우,여우,11,199,9개의 꼬리에는 각각<NEXT>다른 신비한 힘이<NEXT>담겨져 있다고 하는 말이 있다,9개의 아름다운 꼬리는<NEXT>1000년을 살아가는<NEXT>신비한 에네르기가 담겨져 있다,0x68,0x68,0x4BAF,0x4BED
39,푸린,True,True,True,False,풍선,풍선,5,55,커다랗게 몸을 부풀려서<NEXT>노래하는 자장가는 평상시보다<NEXT>길어서 반드시 잠이들게 된다,둥글고 또렷한 눈동자를 쳐다보면<NEXT>잠이 올 것 같은 기분 좋은<NEXT>노래를 부르기 시작한다,0x68,0x68,0x4BF9,0x4C3B
40,푸크린,True,True,True,False,풍선,풍선,10,120,2마리가 붙어있으면 서로의<NEXT>털가죽에 기분이 너무 좋아서<NEXT>서로 떨어지지 않게 되어버린다,고운결의 세밀한 털을 지니고 있다<NEXT>화나게 하면 점점 부풀어서는<NEXT>덤벼들기 때문에 주의가 필요하다,0x68,0x68,0x4C51,0x4C94
41,주뱃,True,True,True,False,박쥐,박쥐,8,75,날고있을 때는 항상 입에서<NEXT>나오는 초음파로 주변이<NEXT>어떤 상태인가 판단하고 있다,어두운 곳도 잘 날아다니는 것은<NEXT>초음파를 내서 주변의<NEXT>상태를 조사하기 때문이다,0x68,0x68,0x4CAD,0x4CF9
42,골뱃,True,True,True,False,박쥐,박쥐,16,550,아무리 단단한 피부라도<NEXT>날카로운 송곳니로 뚫어서<NEXT>피를 듬뿍 빨아 마신다,300cc의 피를 빨 수 있지만<NEXT>한번에 너무 많이 빨면 몸이<NEXT>몸이 무거워져서 비틀거린다,0x68,0x68,0x4D02,0x4D4E
43,뚜벅쵸,True,True,True,False,잡초,잡초,5,54,달빛을 받아 눈을 뜨면<NEXT>이곳저곳을 돌아다닌다  낮에는<NEXT>땅속에서 꼼짝않고 있다,달빛을 받아 움직인다<NEXT>밤중에 씨앗을 여기저기에<NEXT>뿌리기 위해 돌아다닌다,0x68,0x68,0x4D50,0x4DA6
44,냄새꼬,True,True,True,False,잡초,잡초,8,86,군침을 흘리는 듯한 달콤한 꿀<NEXT>매우 끈적거려서 몸에 닿으면<NEXT>오랫동안 떨어지지 않는다,끈적끈적 거리는 침 같은 꿀<NEXT>매우 달콤하지만 냄새가<NEXT>의외로 역겨워서 다가갈 수 없다,0x68,0x68,0x4DA3,0x4DF3
45,라플레시아,True,True,True,False,꽃,꽃,12,186,세계최고의 커다란 꽃잎은<NEXT>걸어다닐 때마다 흔들려 대량의<NEXT>독가루를 흩뿌리게 되어버린다,뽕 하는 소리가 나며 꽃봉오리가<NEXT>열리면 알레르기를 일으키는<NEXT>독가루를 뿌리기 시작한다,0x68,0x68,0x4DFD,0x4E4C
46,파라스,True,True,True,False,버섯,버섯,3,54,전신에 버섯포자를 뒤집어쓰고<NEXT>태어난다  몸이 자라면<NEXT>등에서 버섯이 자라난다,몸이 자라게 되면<NEXT>등에서 동충하초<NEXT>라고 하는 버섯이 돋아난다,0x68,0x68,0x4E57,0x4EA5
47,파라섹트,True,True,True,False,버섯,버섯,10,295,어둡고 축축한 장소를 좋아한다<NEXT>그것은 벌레가 아닌 크게자란<NEXT>등의 버섯의 바램이다,등의 버섯이 자랄수록<NEXT>흩뿌려지는 버섯포자의<NEXT>효과는 강력해진다,0x68,0x68,0x4EA9,0x4EE8
48,콘팡,True,True,True,False,곤충,곤충,10,300,양쪽 눈은 레이더 기능을<NEXT>가지고 있다  어둠에 숨어있는<NEXT>작은 벌레도 잡아먹는다,전신에서 독이 번져나온다<NEXT>어두워지면 밝은 곳에 모인<NEXT>작은 벌레를 잡아 먹는다,0x68,0x68,0x4F00,0x4F2D
49,도나리,True,True,True,False,독나방,독나방,15,125,공격할 때는 격하게<NEXT>커다란 날개를 움직여서<NEXT>독가루를 뿌린다,날개의 가루는 상태에 따라 색이<NEXT>짙어지면 독의 성질을 내고 색이<NEXT>옅어지면 마비의 효과를 나타낸다,0x68,0x68,0x4F54,0x4F80
50,디그다,True,True,True,False,두더지,두더지,2,8,피부가 매우 얇기 때문에<NEXT>빛에 쪼이게 되면 혈액이<NEXT>데워져서 약해져버린다,디그다가 지나간 뒤의<NEXT>대지는 알맞게 땅이 갈려<NEXT>최고의 밭이 된다,0x68,0x68,0x4F98,0x4FE8
51,닥트리오,True,True,True,False,두더지,두더지,7,333,3개의 머리가 서로 어긋나게<NEXT>움직이는 것은 주변의 흙을<NEXT>부드럽게해서 파기 쉽게하기 위함임,엄청난 힘의 소유자로<NEXT>그 어떤 딱딱한 땅이라도<NEXT>지하 100Km까지 파들어 간다,0x68,0x68,0x4FE8,0x5030
52,나옹,True,True,True,False,요괴고양이,요괴고양이,4,42,둥근 물건을 발견하면<NEXT>장난치느라 시간가는 줄 모른다<NEXT>그리고 지쳐서 잠들어버린다,반짝반짝 빛나는 물건을 좋아한다<NEXT>특히 동전을 제일 좋아해서<NEXT>주워서 어딘가에 감춰 놓는다,0x68,0x68,0x5049,0x5082
53,페르시온,True,True,True,False,샴고양이,샴고양이,10,320,전신에서 감도는 기품에<NEXT>마음이 끌리는 사람도 많지만<NEXT>뭔일이 있으면 바로 할퀴려고 한다,부드러운 근육 덕분으로<NEXT>발소리를 내지 않고 걸을 수 있다<NEXT>먹이를 사냥할 때는 순식간이다,0x68,0x68,0x50A5,0x50E6
54,고라파덕,True,True,True,False,오리,오리,8,196,신비한 힘을 소유하고 있지만<NEXT>사용한 기억이 없기때문에<NEXT>항상 고개를 갸우뚱거리고 있다,두통이 심해지면<NEXT>신비한 힘을 나타내지만<NEXT>그때의 기억은 없는 것 같다,0x68,0x68,0x5105,0x5147
55,골덕,True,True,True,False,오리,오리,17,766,물갈퀴가 있는 긴 손발을<NEXT>사용하여 전력으로 헤엄치면<NEXT>어떤 이유인지 이마에서 빛이 난다,해질 무렵 강가에 모습을 나타낸다<NEXT>이마가 이상하게 빛날 때<NEXT>신통력을 발휘한다고 전해진다,0x68,0x68,0x5160,0x5191
56,망키,True,True,True,False,돈숭이,돈숭이,5,280,항상 화를내고 있다<NEXT>근처의 먹이를 발견하면<NEXT>무리를 일으켜 덤벼든다,이유없이 화나서 날뛰기 시작하면<NEXT>동료도 구별 할 수 없기에<NEXT>가까이 가는것은 매우 위험하다,0x68,0x68,0x51BC,0x51EF
57,성원숭,True,True,True,False,돈숭이,돈숭이,10,320,자고있을 때 다가가면<NEXT>잠든 채로 화를 내기 시작하여<NEXT>영문도 모른 채 덤벼든다,누가 쳐다보기만 해도<NEXT>대단히 화를 낸다  그리고<NEXT>눈이 마주친 상대를 쫓아다닌다,0x68,0x68,0x5207,0x5250
58,가디,True,True,True,False,강아지,강아지,7,190,자신보다 강하고 커다란<NEXT>상대라도 겁없이 덤벼드는<NEXT>용감하고 믿음직한 성격이다,충직한 성격으로<NEXT>자신의 트레이너를 지키기 위해<NEXT>필사적으로 상대방에게 짖어댄다,0x68,0x68,0x525B,0x52A6
59,윈디,True,True,True,False,전설,전설,19,1550,훌륭한 갈기에 반해버린<NEXT>사람들이 있을 정도로 위풍당당한<NEXT>중국 전설의 포켓몬이다,위풍당당한 울음소리는<NEXT>위엄이 넘쳐 소리를 들은 상대는<NEXT>무의식중에 몸을 움츠리게된다,0x68,0x68,0x52B0,0x52FD
60,발챙이,True,True,True,False,올챙이,올챙이,6,124,생기기 시작한 다리로<NEXT>걸어다니기에는 힘들기에 항상<NEXT>물속을 헤엄치고 돌아다닌다,배의 소용돌이 무늬의 방향은<NEXT>지방에따라 다르다  어쩐지<NEXT>적도와 관계가 있는 것 같다,0x68,0x68,0x5306,0x5357
61,수륙챙이,True,True,True,False,올챙이,올챙이,10,200,배의 소용돌이 문양은 미묘하게<NEXT>꾸불거리고 있어서 계속 쳐다보면<NEXT>점점 졸립게 되어버린다,전신의 피부는 젖어 있지만<NEXT>배의 소용돌이 부분의<NEXT>감촉은 미끈미끈하다,0x68,0x68,0x535D,0x53B2
62,강챙이,True,True,True,False,올챙이,올챙이,13,540,앞다리만으로도<NEXT>태평양을 횡단할 수 있을 정도로<NEXT>헤엄치는 실력이 뛰어나다,근육을 전부 사용하는<NEXT>다이나믹한 헤엄치기가 특기이지만<NEXT>어쩐지 지상에서 생활을 한다,0x68,0x68,0x53BC,0x53FF
63,캐이시,True,True,True,False,초능력,초능력,9,195,상대의 공격방향을 읽어서<NEXT>덤벼들기 직전에 <NEXT>순간이동으로 그 장소를 떠난다,제멋대로 순간이동을<NEXT>반복하고 있으면 마치<NEXT>분신술을 펼치고 있는 듯 보인다,0x68,0x68,0x540D,0x545B
64,윤겔라,True,True,True,False,초능력,초능력,13,565,강한 정신력의 소유자로<NEXT>궁지에 몰리면 몰릴수록<NEXT>능력이 높아져간다,능력을 사용할 때마다<NEXT>몸에서부터 특수한 알파파를<NEXT>발산해서 기계를 고장낸다,0x68,0x68,0x545F,0x54AD
65,후딘,True,True,True,False,초능력,초능력,15,480,양쪽 눈을 감으면 전신의<NEXT>감각이 한층 더 높아져서<NEXT>최상의 능력을 발휘한다,뇌세포는 항상 분열해서<NEXT>죽을 때까지 늘어나기 때문에<NEXT>모든 것을 기억해 놓을 수 있다,0x68,0x68,0x54A9,0x5500
66,알통몬,True,True,True,False,괴력,괴력,8,195,항상 강력한 체력을<NEXT>유지하기 위해서 심심풀이로<NEXT>바위를 들어올려 힘을 기른다,체력단련을 제일 좋아한다<NEXT>하루종일 수행을 해도<NEXT>전혀 지치지 않는다,0x68,0x68,0x54FA,0x555B
67,근육몬,True,True,True,False,괴력,괴력,15,705,어떠한 상황에서든 전력으로<NEXT>행동하지만 지치거나 하지 않는다<NEXT>터프하고 튼튼한 포켓몬이다,전신 근육의 힘이<NEXT>가득 넘친다  가만히 있어도<NEXT>엄청난 압박감을 느끼게 한다,0x68,0x68,0x554C,0x55A4
68,괴력몬,True,True,True,False,괴력,괴력,16,1300,4개의 팔을 재빠르게 움직여서<NEXT>모든 각도에서 쉬지않고<NEXT>펀치와 당수를 날려온다,4개의 팔로 상대방의 손발을<NEXT>붙잡아 꼼짝 못하게 만들고<NEXT>지평선 멀리까지 던져버린다,0x68,0x68,0x55AA,0x55F4
69,모다피,True,True,True,False,꽃,꽃,7,40,가늘고 긴 몸을 가졌지만<NEXT>먹이를 잡을 때의 움직임은<NEXT>눈에 보이지 않을 정도로 빠르다,다리를 지면 깊이 뻗어서<NEXT>수분을 보충한다  그때<NEXT>공격을 받으면 도망치지 못한다,0x68,0x68,0x55FD,0x564C
70,우츠동,True,True,True,False,파리잡이,파리잡이,10,64,용해액의 효능을 없애는<NEXT>액체도 분비하고 있기 때문에<NEXT>자신은 용해액의 해를 입지 않는다,입보다도 큰 먹이는<NEXT>잘 드는 날카로운 잎사귀로 잘라<NEXT>남김없이 먹어치운다,0x68,0x68,0x5654,0x569E
71,우츠보트,True,True,True,False,파리잡이,파리잡이,17,155,많은 먹이를 녹인<NEXT>용해액은 단맛이 많이 나서<NEXT>더욱 먹이를 모으기 쉽게된다,꿀냄새를 맡고 모여든 먹이<NEXT>전부를 입안에서 녹여버리는<NEXT>난폭한 식물포켓몬,0x68,0x68,0x56B4,0x56F0
72,왕눈해,True,True,True,False,해파리,해파리,9,455,바닷물이 빠지면 모래변에<NEXT>남겨져 바싹 마른<NEXT>왕눈해를 볼 수가 있다,파도위를 정처없이 떠다닌다<NEXT>물속에서는 모습을 보기 어려워<NEXT>찔릴 때까지 느끼지 못하기도 한다,0x68,0x68,0x5707,0x5743
73,독파리,True,True,True,False,해파리,해파리,16,550,80개가 넘는 많은<NEXT>촉수는 수분을 머금어서<NEXT>어디까지든 늘여서 휘감을 수 있다,싸울 때 80개의<NEXT>촉수를 전부 뻗어서<NEXT>독의 포위망을 펼친다,0x68,0x68,0x5751,0x57A7
74,꼬마돌,True,True,True,False,암석,암석,4,200,많은 사람들이 알아차리지 못할뿐<NEXT>주변 근처를 잘 살펴본다면<NEXT>꼬마돌이 많이 있다,양손을 사용하여 아무리 험난한<NEXT>산길이라도 헤쳐 올라간다<NEXT>화가나면 주먹을 휘두른다,0x68,0x68,0x57A4,0x57E8
75,데구리,True,True,True,False,암석,암석,10,1050,산에서 굴러 떨어질 때<NEXT>몸의 여기저기가 떨어져나가도<NEXT>신경쓰지 않는 호쾌한 성격이다,걸음이 늦기 때문에<NEXT>굴러서 이동한다  도중에<NEXT>어떤 일이 있어도 신경쓰지 않는다,0x68,0x68,0x57F9,0x5840
76,딱구리,True,True,True,False,메가톤,메가톤,14,3000,1년에 한번 탈피를 한다<NEXT>탈피하고 남은 껍질은 바로 굳어<NEXT>금이가서 깨져 떨어진다,고의로 몸을 폭발시켜<NEXT>그 기세를 이용하여<NEXT>산에서 산으로 날아서 이동한다,0x68,0x68,0x5852,0x5894
77,포니타,True,True,True,False,불의말,불의말,10,300,태어나서 바로는 잘 달리지 못한다<NEXT>어미를 따라다니면서 점점<NEXT>빨리 달릴 수 있도록 된다,배후에서 이상한 기미를 느끼면<NEXT>뒷다리의 다이아몬드보다 단단한<NEXT>발굽으로 걷어차 버린다,0x68,0x68,0x58A9,0x58E4
78,날쌩마,True,True,True,False,불의말,불의말,17,950,달릴 때 4개의 다리는<NEXT>거의 지면에 닿지 않는다<NEXT>그정도로 빨리 달린다는 것이다,엄청나게 빠른 가속력<NEXT>달리기 시작해 겨우 10걸음으로<NEXT>최고시속 240Km가 된다,0x68,0x68,0x5906,0x5942
79,야돈,True,True,True,False,얼간이,얼간이,12,360,물가에서 멍하게 지내고 있다<NEXT>무언가가 꼬리를 깨물어도<NEXT>대략 하루정도 모르고 지낸다,꼬리의 끝에서 달콤한 맛이<NEXT>번져나오고 있다  영양은 없지만<NEXT>물고 있으면 행복한 기분이 든다,0x68,0x68,0x595B,0x5995
80,야도란,True,True,True,False,기생,기생,16,785,격한 싸움에서 꼬리를<NEXT>물고있는 셀러가 떨어지면<NEXT>원래의 야돈의 모습이 되어버린다,원래 감각이 둔했었지만<NEXT>셀러의 독소가 퍼져<NEXT>아픔을 느끼지 못하게 되었다,0x68,0x68,0x59B6,0x59F7
81,코일,True,True,True,False,자석,자석,3,60,전파에 이끌리는 성질을 지녔다<NEXT>포켓기어를 사용하면<NEXT>가까이 다가오는 일도 있는 듯하다,좌우의 유닛으로부터<NEXT>중력을 차단하는 힘을 발휘<NEXT>하기 때문에 공중에 뜰 수 있다,0x68,0x68,0x5A0C,0x5A45
82,레어코일,True,True,True,False,자석,자석,10,600,3개의 코일은 강한 자력으로<NEXT>묶여있다  가까이 다가가면<NEXT>강한 귀울림으로 공격받는다,상호간에 코일을 엮어서<NEXT>강력하게 만든 자력은 주변의<NEXT>수분을 건조하게 만들정도다,0x68,0x68,0x5A67,0x5A99
83,파오리,True,True,True,False,천둥오리,천둥오리,8,150,중요한 줄기가 나는 장소를<NEXT>빼앗으려 하는 녀석은 가지고 있는<NEXT>줄기를 사용하여 해치운다,비상식량의 줄기를 먹으면<NEXT>곧바로 다른 줄기를 찾아<NEXT>달려가기 시작한다,0x68,0x68,0x5ABF,0x5AEF
84,두두,True,True,True,False,쌍둥이새,쌍둥이새,14,392,2개의 머리를 순서대로<NEXT>상하로 움직여서 달릴 때의<NEXT>안정감을 높게 만든다,깊이 10cm이상의 발자국이<NEXT>생길 정도로 힘차게<NEXT>지면을 박차고 초원을 달린다,0x68,0x68,0x5B1F,0x5B3E
