ID,Event / System,Gold / Silver,Crystal,HeartGold / SoulSilver,Integration decision,Class
PH9-012,League Reception Gate,"Dedicated Victory Road Gate checks `VAR_BADGES`; fewer than 8 Johto badges pushes the player back, all 8 allows passage.",Same gate concept.,Remade Reception Gate (`R22R0101`) retains officer dialogue acknowledging all eight Johto badges and later controls west-Kanto/Mt. Silver branches with additional flags.,Keep the explicit eight-Johto-badge entitlement even if earlier route states make failure normally unreachable.,badge gate
PH9-013,Reception Gate future branches,Gate also contains later routes toward Route 22/Mt. Silver as postgame states.,Same broad topology.,HGSS adds separate `FLAG_UNLOCKED_WEST_KANTO` and `FLAG_UNLOCKED_MT_SILVER` state handling plus rematch/photo NPC logic.,Do not entangle initial League admission with later Kanto/Mt. Silver unlocks.,state separation
PH9-014,Victory Road dungeon,"Full cave map with items, pits/warps and encounter data precedes Indigo Plateau.",Crystal preserves the Gen II dungeon family.,HGSS rebuilds Victory Road into multiple DS map sections/floors with explicit fall-hole warps.,Preserve every source dungeon floor/object and convert puzzle topology separately from story triggers.,dungeon preservation
PH9-015,Final pre-League rival encounter,Rival confronts the player near the end of Victory Road before Indigo Plateau.,Same.,HGSS `D43R0103` preserves the ambush and selects one of three rival trainer IDs from the player's starter choice.,One `RIVAL_VICTORY_ROAD_RESOLVED` fact with source-specific trainer record and presentation.,legacy-preserved event
PH9-016,GSC Victory Road rival party,"Six-Pokémon team: Sneasel Lv34, Golbat Lv36, Magneton Lv35 (Lv34 in the Feraligatr branch), Haunter Lv35, Kadabra Lv35, final starter Lv38; moves are explicitly authored.",Crystal trainer table preserves the same pre-League team records.,HGSS uses new trainer records and the Gen IV battle data format.,Keep the GSC party as a selectable source record; do not silently replace it with the remake team.,trainer data
PH9-017,Rival starter branch,Three trainer records correspond to the three possible opposing final starters.,Same.,"HGSS checks starter choice and dispatches to `TRAINER_RIVAL_SILVER_9`, `_13` or `_5` for this encounter.",Normalize branch selection around semantic `PLAYER_STARTER_SPECIES`; retain original trainer IDs as provenance.,trainer branching
PH9-018,Victory Road rival loss,Normal trainer-loss/whiteout rules apply and the story encounter remains available.,Same.,HGSS explicitly hides the temporary rival object before `WhiteOut`; completion variable is only advanced on victory.,Verify loss → respawn → return → rival reappears; never set resolution on whiteout.,boundary condition
PH9-019,Indigo Plateau recovery hub,"Pokémon Center, Mart and pre-Elite-Four support are available.",Same.,HGSS lobby preserves nurse/shop services and expands UI/ranking/follower behavior.,Preserve all legacy services first; add HGSS ranking/UI functions only after their dependent systems exist.,facility preservation
PH9-020,Elite Four run initialization,Entering the Indigo Plateau hub resets Will/Koga/Bruno/Karen/Lance room scenes and per-run defeated/door flags.,Crystal uses the same state-machine structure.,HGSS lobby similarly clears defeated flags and restores exits/retreat objects on a new challenge.,"Implement a dedicated `LEAGUE_RUN_STATE`, reset only at the intended hub/restart points.",battle-run state
PH9-021,Elite Four fixed order,Will → Koga → Bruno → Karen → Lance.,Same.,Same first-run order.,Keep order and room-lock semantics; later upgraded parties do not change the sequence.,direct preservation
PH9-022,GSC Will,Xatu 40 / Jynx 41 / Exeggutor 41 / Slowbro 41 / Xatu 42 with explicit Gen II move sets.,Same initial party in Crystal.,"Same species and levels on first challenge, but multiple moves change; final Xatu carries Sitrus Berry; trainer has two Full Restores and AI flags.",Store GSC and HGSS move/item/AI records independently even where species/levels match.,trainer comparison
PH9-023,HGSS Will move modernization,Lead Xatu uses Quick Attack/Future Sight/Confuse Ray/Psychic; final Xatu uses the same core Gen II set.,Same.,Lead Xatu uses U-turn/Me First/Confuse Ray/Psychic; final Xatu uses Aerial Ace/Ominous Wind/Confuse Ray/Psychic and Sitrus Berry; Exeggutor gains Hypnosis; Slowbro uses Water Pulse.,Backport exact Gen IV move records only after the Gen IV move/effect engine is present.,trainer move divergence
PH9-024,GSC Koga,Ariados 40 / Venomoth 41 / Forretress 43 / Muk 42 / Crobat 44.,Same initial party.,Same species/levels first run.,"Species/level table can share a structural template, but move/item/ability data remain source-specific.",trainer comparison
PH9-025,HGSS Koga battle parameters,No held-item/ability-override fields in Gen II trainer record.,Same Gen II data model.,"All party entries use high trainer difficulty; Muk has Black Sludge, Crobat has Sitrus Berry; moves include Poison Jab, Toxic Spikes, Gunk Shot and Poison Fang; trainer has two Full Restores and AI flags.","Requires held-item, ability and Gen IV move-effect support before exact battle fidelity is possible.",trainer-system expansion
PH9-026,GSC Bruno,Hitmontop 42 / Hitmonlee 42 / Hitmonchan 42 / Onix 43 / Machamp 46.,Same initial party.,Same species/levels first run.,Preserve base composition but keep source-specific move sets.,trainer comparison
PH9-027,HGSS Bruno battle parameters,"Gen II authored moves include Pursuit/Detect, Double Kick/Foresight, elemental punches/Mach Punch, etc.",Same initial Gen II records.,"Uses Counter/Triple Kick, Focus Energy/Blaze Kick, Bullet Punch, DragonBreath and Revenge; Machamp has Sitrus Berry; trainer has two Full Restores and AI flags.",Do not fake Gen IV moves with 'similar' Gen II effects; implement the real effect IDs first.,trainer-system expansion
PH9-028,GSC Karen,Umbreon 42 / Vileplume 42 / Gengar 45 / Murkrow 44 / Houndoom 47.,Same initial party.,Same species/levels first run.,Preserve composition and compare all move/item fields individually.,trainer comparison
PH9-029,HGSS Karen battle parameters,"Gen II uses Sand-Attack/Mean Look on Umbreon, Curse on Gengar, Pursuit on Murkrow/Houndoom and no held items in the trainer record.",Same.,Umbreon gains Double Team/Payback; Gengar uses Focus Blast; Murkrow uses Pluck/Sucker Punch; Houndoom uses Nasty Plot/Dark Pulse and carries Sitrus Berry; two Full Restores + AI flags.,Keep source records side by side; selection depends on story/ruleset mode.,trainer-system expansion
PH9-030,GSC Champion Lance levels,Gyarados 44 / Dragonite 47 / Dragonite 47 / Aerodactyl 46 / Charizard 46 / Dragonite 50.,Crystal preserves the same initial Champion party.,Raises the first five to 46 / 49 / 49 / 48 / 48 while the ace Dragonite remains 50.,Never describe Lance as 'same team' without tracking these level changes.,trainer level divergence
PH9-031,GSC Champion Lance moves,"Gyarados: Flail/Rain Dance/Surf/Hyper Beam; two Lv47 Dragonite use Thunder or Blizzard variants; Aerodactyl, Charizard and ace Dragonite have distinct authored sets.",Same initial Crystal data.,HGSS rewrites many moves around Gen IV mechanics while retaining the ace's Fire Blast/Safeguard/Outrage/Hyper Beam core.,"Separate move tables by source and validate category split, abilities and held items in battle.",trainer move divergence
PH9-032,HGSS Champion Lance parameters,Gen II trainer record has no per-Pokémon difficulty/ability/held-item model.,Same.,"First-run Lance has four Full Restores, AI flags=7, per-Pokémon difficulty=250; Aerodactyl forces its second ability; ace Dragonite Lv50 holds Sitrus Berry.","Trainer backport requires expanding trainer structs, not only copying party species and levels.",trainer-system expansion
PH9-033,Lance win scene,Champion defeat leads to Mary and Professor Oak arriving; Lance then guides player to Hall of Fame.,Crystal preserves the same narrative skeleton.,"HGSS expands the choreography with Marill/follower handling, Mary/Oak actors and first-clear state changes before warping to Hall of Fame.",Preserve the GSC story beat and layer the HGSS movement/camera presentation.,legacy-preserved event
PH9-034,First-clear vs repeat-clear split,Hall of Fame sets `EVENT_BEAT_ELITE_FOUR`; later clears reuse the League system.,Same.,Champion/Hall of Fame scripts test `FLAG_GAME_CLEAR` and only perform certain world-unlock operations on the first clear.,Store `GAME_CLEAR` and `LEAGUE_CLEAR_COUNT` separately from per-run defeated flags.,save-state architecture
PH9-035,GSC Hall of Fame registration,"Lance leads player to the machine; party is healed, Champion/party are registered, Elite Four completion flags are set and credits begin.","Same code structure, with small text/localization differences.",HGSS runs `HallOfFameAnim` using party count excluding Eggs and increments a League-win game statistic before credits.,Preserve legacy registration data; extend it for Gen IV forms/held items/met data only where Hall-of-Fame format requires.,Hall of Fame
PH9-036,GSC post-Hall-of-Fame phone handoff,"If S.S. Ticket has not been received, Hall of Fame schedules Elm's special S.S. Ticket phone call.",Same.,HGSS uses first-clear/player-house/Elm scene state rather than relying only on the old phone-call choreography.,One semantic `ELM_SS_TICKET_AVAILABLE`; preserve source-specific notification style.,postgame handoff
PH9-037,GSC Olivine world-state switch,Hall of Fame flips Olivine Port 'before/after Hall of Fame' event states and enables the postgame ship route.,Same.,HGSS separately unhides Professor Oak at Olivine Port during the first Lance-clear flow.,Keep port-population transition separate from S.S. Ticket ownership.,world-state change
PH9-038,Elm S.S. Ticket,"After Elite Four clear, Elm gives S.S. Ticket and sets a dedicated received flag.",Same.,Elm Lab checks `FLAG_GAME_CLEAR`; if the ticket is not already owned it gives `ITEM_S_S__TICKET` and sets its received flag.,One retry-safe entitlement/claim pair; no duplicated ticket across integrated source routes.,key-item handoff
PH9-039,HGSS Professor Oak at Olivine Port,Absent; Gen II has no National Dex mode to unlock here.,Absent.,"On first post-League visit Oak performs `NatDexFlagAction 1`, plays the Pokédex upgrade fanfare, enables mass outbreaks and then leaves.",Add as an HGSS postgame extension after the original GSC port/ticket state is preserved.,HGSS postgame expansion
PH9-040,National Dex unlock timing,No separate National Dex unlock system.,No separate National Dex unlock system.,National Dex is enabled immediately before/around the first S.S. Aqua departure at Olivine Port.,Do not unlock Gen IV National Dex functions simply on badge 8; key them to the verified post-League Oak scene.,system unlock
PH9-041,Mass outbreaks,No HGSS mass-outbreak subsystem in this form.,No HGSS subsystem.,Olivine Oak scene explicitly calls `EnableMassOutbreaks`.,Backport only after encounter-table/time/phone systems support the mechanic; track unlock independently from National Dex UI.,HGSS system expansion
PH9-042,S.S. Aqua boarding gate,Requires post-League state and S.S. Ticket; Olivine port sets first-trip destination/state.,Same.,"Port script rejects pre-clear/no-ticket states, sets boat direction and first-trip variables/flags when boarding.","Use `GAME_CLEAR + SS_TICKET_CLAIMED` as semantic prerequisites, with schedule checks only for later trips.",transport gate
PH9-043,First S.S. Aqua interruption,A worried grandfather rushes past the player because his granddaughter is missing.,Same legacy ship story.,HGSS preserves the missing-granddaughter sequence on the remade ship.,"Classify as GSC legacy story retained by HGSS, not a remake-only quest.",legacy-preserved event
PH9-044,S.S. Aqua lazy sailor / cabin progression,First voyage uses ship flags to gate access/progression until the player's tasks and the granddaughter sequence advance.,Same.,HGSS rewrites the ship as multiple `P01R03xx` scripts around a numeric voyage-state variable and object flags.,Create a semantic voyage enum rather than importing opaque numbers directly.,transport state machine
PH9-045,Granddaughter found,The girl is found playing with the captain; returning her to her grandfather completes the first-voyage story.,Same.,HGSS grandfather/cabin scripts explicitly track missing/found state and trigger arrival after the reunion.,One `SS_AQUA_GRANDDAUGHTER_FOUND` fact; save/reload at every stage must preserve actor placement.,legacy-preserved event
PH9-046,Metal Coat reward,"Grandfather rewards the player with Metal Coat; arrival can proceed even if the bag is full, while reward remains separately claimable in GSC.",Same broad reward.,HGSS attempts to give `ITEM_METAL_COAT`; its checked cabin script then advances boat arrival even after its bag-full branch.,Keep arrival and reward claim separate so a full bag cannot permanently erase the Metal Coat entitlement.,reward safety
PH9-047,Arrival in Vermilion,"First voyage ends in Vermilion City, establishing normal playable Kanto postgame.",Same.,HGSS script sets `FLAG_BOAT_ARRIVED` and displays the explicit Vermilion arrival message after the ship story.,Set `KANTO_POSTGAME_ACCESS_OPEN` only after a valid arrival/disembark path exists.,Kanto handoff
PH9-048,Recurring S.S. Aqua trips,"After first trip, the Fast Ship uses weekday/destination state for repeat Olivine↔Vermilion service and alternate passengers/trainers.",Crystal preserves repeat service.,"HGSS port and ship scripts use weekday, boat direction and voyage state to select repeat departures/content.",Preserve first-trip story and recurring timetable as different modes; never replay the granddaughter quest every trip.,recurring transport
PH9-049,HGSS upgraded Elite Four,G/S has only the original Elite Four/Champion trainer set for ordinary rematches.,Crystal likewise keeps the original League party set.,Each Elite Four/Champion room compares the Kanto-badge counter with 8 and selects `*_2` upgraded trainer records when all eight Kanto badges are obtained.,Add `LEAGUE_TEAM_TIER = JOHTO_FIRST / KANTO_8_BADGES`; retain GSC source mode without forced upgrade.,HGSS rematch expansion
PH9-050,Kanto badge counter semantics,"Gen II stores Kanto badges as badge flags, but does not use an HGSS eight-badge League upgrade dispatcher.",Same.,`VAR_UNK_4135` is incremented by Kanto Gym badge scripts; League rooms test it against 8.,Expose as semantic `KANTO_BADGE_COUNT`; never scatter raw `0x4135` checks through target code.,state normalization
PH9-051,Hall of Fame world restoration,"GSC Hall of Fame changes multiple global events: Elite Four beaten, Teleport Guy, rival/Sprout Tower state, Red/Mt. Silver and Olivine port states.",Crystal preserves the same core state mutations.,HGSS additionally restores visible uncaught static legendaries and can recreate roamers in certain defeated/escaped states before credits.,"Treat Hall of Fame as a world-state transaction, not merely an animation.",world-state transaction
PH9-052,HGSS legendary reappearance,No matching Gen IV global respawn transaction.,No matching Gen IV transaction.,Hall of Fame clears hide flags for uncaught Ho-Oh/Lugia and several other static species; escaped/defeated roaming beasts/Lati twins can be recreated from status=2.,Backport with per-species source rules. Do not globally respawn a species whose original source route defines a different permanence rule.,HGSS world-system expansion
PH9-053,HGSS SoulSilver HoF bug,Not applicable.,Not applicable.,Source comment documents a SoulSilver Hall-of-Fame branch that checks `FLAG_CAUGHT_KYOGRE` where `FLAG_CAUGHT_GROUDON` was intended; existing scene state makes it effectively harmless.,Document the source bug and fix the semantic check in the integrated implementation.,verified source bug
PH9-054,Credits and return,Hall of Fame invokes the Gen II Hall-of-Fame/credits flow and returns the saved game to post-clear world state.,Same.,"HGSS calls `HOFCredits 0`, restores overworld and continues using persistent first-clear/postgame flags.",Preserve credits as presentation; commit postgame flags before any reset/title transition so save integrity is deterministic.,credits/save
PH9-055,Phase 9 Kanto start boundary,The S.S. Aqua arrival/disembark is the practical post-League Kanto-opening handoff.,Same.,"HGSS adds National Dex/outbreak unlock before the voyage, then preserves the ship-based Vermilion arrival.",Phase 10 begins from Vermilion/Kanto while keeping all Johto revisit and S.S. Aqua return states live.,next-arc handoff
